,benchmark,name,aig_overwritten,aig_time,entropy_overwritten,entropy_time
126,mcnc,con1,True,0.028894647024571896,True,0.0041950090089812875
127,mcnc,cordic,True,0.11244127599638887,True,911.3328080359788
128,mcnc,cps,True,2.5979514060309157,True,54378.80005255499
129,mcnc,cu,True,0.07898854202358052,True,1.1081566360080615
130,mcnc,dc1,True,0.09781259999726899,True,0.0043578449985943735
131,mcnc,dc2,True,0.16913056100020185,True,0.045033347996650264
132,mcnc,decod,True,0.0447003320150543,True,0.003049551014555618
133,mcnc,dekoder,True,0.07456110199564137,True,0.005417740991106257
134,mcnc,dist,True,0.7282271950389259,True,0.2838351030368358
135,mcnc,dk17,True,0.2253725699847564,True,0.2764657029765658
136,mcnc,dk27,True,0.12025729299057275,True,0.06434234796324745
137,mcnc,dk48,True,0.29873859899817035,True,11.347100613988005
138,mcnc,duke2,True,0.917465167993214,True,4441.799919728015
139,mcnc,ex1010,True,4.401973431988154,True,5.511757248023059
140,mcnc,ex5,True,1.2166201010113582,True,0.4852862830157392
141,mcnc,ex7,True,0.1491498500108719,True,10.111959806003142
142,mcnc,exps,True,2.0948267970234156,True,0.68986694898922
143,mcnc,exp,True,0.5704837659723125,True,0.15541279903845862
144,mcnc,f51m,True,0.24055459996452555,True,0.048753063019830734
145,mcnc,frg1,True,0.1737724810373038,True,47283.81132298603
146,mcnc,gary,True,0.7208815019694157,True,29.579539044003468
147,mcnc,i1,True,0.03477627696702257,True,857.0112899520318
148,mcnc,in0,True,0.3719633569708094,True,13.68377738702111
149,mcnc,in1,True,2.3925498540047556,True,93.31652934697922
150,mcnc,in2,True,0.7453301050118171,True,437.4590289759799
151,mcnc,in5,True,0.5831106749828905,True,11746.258180915029
152,mcnc,in7,True,0.2291296370094642,True,15905.208903211984
153,mcnc,inc,True,0.19333919801283628,True,0.02855256397742778
154,mcnc,intb,True,1.7450599810108542,True,69.73627645900706
155,mcnc,lal,True,0.14738965599099174,True,10132.374221678008
156,mcnc,lin,True,1.8560580979683436,True,0.41019610298098996
157,mcnc,luc,True,0.3769671480404213,True,0.15301539795473218
158,mcnc,m1,True,0.14759911299915984,True,0.011204607028048486
159,mcnc,m2,True,0.4280101869953796,True,0.1083749930257909
160,mcnc,m3,True,0.6165375709533691,True,0.1529618629720062
161,mcnc,m4,True,1.0148143380065449,True,0.34640842699445784
162,mcnc,majority,True,0.015000407991465181,True,0.0010299250134266913
163,mcnc,mark1,True,0.5796032550279051,True,741.0689985080389
164,mcnc,max1024,True,1.31045071198605,True,1.6118131059920415
165,mcnc,max128,True,0.7196963019669056,True,0.10105251398636028
166,mcnc,max46,True,0.22511549899354577,True,0.12235537800006568
167,mcnc,max512,True,1.0010875599691644,True,0.6375825689756311
168,mcnc,misex1,True,0.08413075003772974,True,0.023521133000031114
169,mcnc,misex2,True,0.15211877803085372,True,5418.855056693021
170,mcnc,misex3c,True,0.8903981120092794,True,17.55148504296085
171,mcnc,misex3,True,1.976118956983555,True,39.452645115030464
172,mcnc,mlp4,True,0.34044709999579936,True,0.12401822296669707
173,mcnc,mp2d,True,0.11931025999365374,True,1.874519856995903
174,mcnc,mux,True,0.06378819100791588,True,117.4243135980214
175,mcnc,newapla1,True,0.05904241401003674,True,0.20260624401271343
176,mcnc,newapla2,True,0.0425421999534592,True,0.0038210030179470778
177,mcnc,newapla,True,0.08796626696130261,True,0.33834508899599314
178,mcnc,newbyte,True,0.03395824402105063,True,0.0024677379988133907
179,mcnc,newcond,True,0.09104331099661067,True,0.17905146296834573
180,mcnc,newcpla1,True,0.16984155698446557,True,0.08627939998405054
181,mcnc,newcpla2,True,0.10146069200709462,True,0.0139874960295856
182,mcnc,newcwp,True,0.03906027600169182,True,0.0026162880240008235
183,mcnc,newill,True,0.03640462801558897,True,0.008716409967746586
184,mcnc,newtag,True,0.016556094982661307,True,0.0035615349770523608
185,mcnc,newtpla1,True,0.028060320997610688,True,0.022953142994083464
186,mcnc,newtpla2,True,0.059761510987300426,True,0.05228985397843644
187,mcnc,newtpla,True,0.08702288201311603,True,2.6046200459823012
188,mcnc,newxcpla1,True,0.27836623904295266,True,0.1119660739786923
189,mcnc,opa,True,1.004740320960991,True,164.42947220196947
190,mcnc,p82,True,0.16304192802635953,True,0.013666816987097263
191,mcnc,parity,True,0.032182185095734894,True,1.5381669380003586
192,mcnc,pcler8,True,0.10573519201716408,True,11620.315427973983
193,mcnc,pcle,True,0.0779582989634946,True,33.72716812096769
194,mcnc,pdc,True,2.0739540030481294,True,166.05419187701773
195,mcnc,pm1,True,0.06679819797864184,True,3.801342997001484
196,mcnc,pope,True,0.919394371972885,True,0.15600742195965722
197,mcnc,prom1,True,10.684167266008444,True,6.707769437984098
198,mcnc,prom2,True,4.718067014007829,True,2.9602222350076772
199,mcnc,rd53,True,0.07344940700568259,True,0.0074002440087497234
200,mcnc,rd73,True,0.1963505829917267,True,0.029758873977698386
201,mcnc,rd84,True,0.28468583297217265,True,0.0814909019973129
202,mcnc,risc,True,0.23089123499812558,True,0.04544573702150956
203,mcnc,root,True,0.34970867400988936,True,0.09754620003513992
204,mcnc,ryy6,True,0.02627890498843044,True,1.2434845289681107
205,mcnc,sao2,True,0.2560294510331005,True,0.22095525602344424
206,mcnc,sct,True,0.12061426497530192,True,60.49778914503986
207,mcnc,sex,True,0.03756416402757168,True,0.01741997798671946
208,mcnc,shift,True,0.11282123700948432,True,55.116236233036034
209,mcnc,spla,True,2.0659439010196365,True,166.31685665104305
210,mcnc,sqn,True,0.1692924280068837,True,0.02436344203306362
211,mcnc,sqr6,True,0.24394901999039575,True,0.014189150999300182
212,mcnc,sqrt8,True,0.07461493398295715,True,0.020860571006778628
213,mcnc,squar5,True,0.08448554400820285,True,0.0066817859769798815
214,mcnc,t1,True,0.4810278739896603,True,1029.5715113189653
215,mcnc,t2,True,0.26723354298155755,True,38.319510527013335
216,mcnc,t3,True,0.11901672399835661,True,0.5738866250030696
217,mcnc,t481,True,2.2521972890244797,True,188.5027154069976
218,mcnc,t4,True,0.20754562999354675,True,0.9215051080100238
219,mcnc,table3,True,2.7919748990098014,True,55.19761335896328
220,mcnc,table5,True,2.5237276959815063,True,407.5101794129587
221,mcnc,tcon,True,0.05608233204111457,True,4.925170212984085
222,mcnc,tms,True,0.21097962401108816,True,0.052818760043010116
223,mcnc,ts10,True,0.11420901399105787,True,449.63958537299186
224,mcnc,ttt2,True,0.12000529596116394,True,1908.7524437230313
225,mcnc,t,True,0.014648961019702256,True,0.0008316989988088608
226,mcnc,vda,True,0.6778410900151357,True,99.84816211595898
227,mcnc,vg2,True,0.13954272802220657,True,3459.05836786906
228,mcnc,vtx1,True,0.10706199193373322,True,14341.150774911046
229,mcnc,wim,True,0.06534633197588846,True,0.004486322985030711
230,mcnc,x1dn,True,0.26136060600401834,True,26316.137307342025
231,mcnc,x2,True,0.02835009794216603,True,0.02460384799633175
232,mcnc,x9dn,True,0.0741244840901345,True,9299.793457412045
233,mcnc,xor5,True,0.03194660600274801,True,0.0021782799740321934
234,mcnc,z4ml,True,0.035250963002908975,True,0.004430065979249775
235,mcnc,Z5xp1,True,0.1436969239730388,True,0.06217419897438958
236,mcnc,Z9sym,True,0.13002118800068274,True,0.06324756401591003
